Date,Open,High,Low,Close,Volume,Market Cap
2017-01-01,963.66,1003.08,958.7,998.33,147775000,15491200000
2017-01-02,998.62,1031.39,996.7,1021.75,222185000,16055100000
2017-01-03,1021.6,1044.08,1021.6,1043.84,185168000,16426600000
2017-01-04,1044.4,1159.42,1044.4,1154.73,344946000,16795400000
2017-01-05,1156.73,1191.1,910.42,1013.38,510199000,18604000000
2017-01-06,1014.24,1046.81,883.94,902.2,351876000,16314100000
2017-01-07,903.49,908.59,823.56,908.59,279550000,14534400000
2017-01-08,908.17,942.72,887.25,911.2,158715000,14611400000
2017-01-09,913.24,913.69,879.81,902.83,141877000,14694900000
2017-01-10,902.44,914.87,901.06,907.68,115808000,14522600000
2017-01-11,908.12,919.45,762.76,777.76,310929000,14615700000
2017-01-12,775.18,826.25,755.76,804.83,222326000,12477600000
2017-01-13,803.74,829.0,780.0,823.98,168968000,12939100000
2017-01-14,825.14,835.09,812.46,818.41,93063300,13285200000
2017-01-15,818.14,823.31,812.87,821.8,71013600,13174300000
2017-01-16,821.78,834.53,820.27,831.53,82755200,13234600000
2017-01-17,830.95,910.56,830.8,907.94,155095000,13383900000
2017-01-18,909.37,917.5,858.3,886.62,225677000,14648900000
2017-01-19,888.34,904.61,884.34,899.07,105625000,14311700000
2017-01-20,898.17,899.4,887.01,895.03,86728400,14472100000
2017-01-21,895.55,927.37,895.53,921.79,111158000,14432000000
2017-01-22,922.21,937.52,897.56,924.67,116573000,14863600000
2017-01-23,925.5,928.27,916.74,921.01,73588600,14918800000
2017-01-24,910.68,924.14,892.29,892.69,111349000,14681400000
2017-01-25,891.92,903.25,891.69,901.54,120831000,14380700000
2017-01-26,902.39,919.33,902.22,917.59,131958000,14551200000
2017-01-27,918.36,923.22,915.85,919.75,125594000,14810400000
2017-01-28,919.81,923.91,919.81,921.59,68979600,14835800000
2017-01-29,922.07,923.42,919.15,919.5,60851700,14874000000
2017-01-30,920.15,923.05,919.47,920.38,78227300,14844900000
2017-01-31,920.96,972.02,920.96,970.4,164582000,14859700000
2017-02-01,970.94,989.11,970.74,989.02,150110000,15667900000
2017-02-02,990.0,1013.52,983.22,1011.8,145821000,15977800000
2017-02-03,1011.46,1033.87,1008.79,1029.91,201278000,16326100000
2017-02-04,1031.33,1045.9,1015.16,1042.9,155064000,16648800000
2017-02-05,1043.52,1043.63,1022.37,1027.34,114208000,16847400000
2017-02-06,1028.4,1044.64,1028.16,1038.15,111762000,16605400000
2017-02-07,1040.14,1061.93,1040.14,1061.35,146007000,16796600000
2017-02-08,1062.32,1078.97,1037.49,1063.07,201855000,17156700000
2017-02-09,1064.7,1088.99,953.34,994.38,407220000,17197100000
2017-02-10,995.63,998.9,946.69,988.67,190452000,16083600000
2017-02-11,988.9,1009.29,982.83,1004.45,102261000,15976700000
2017-02-12,1003.52,1004.76,996.92,999.18,67530000,16214700000
2017-02-13,998.88,1002.1,976.0,990.64,100607000,16141500000
2017-02-14,991.74,1011.51,986.47,1004.55,137946000,16028000000
2017-02-15,1006.21,1008.84,1001.58,1007.48,89759400,16264100000
2017-02-16,1007.65,1033.37,1007.65,1027.44,122277000,16289100000
2017-02-17,1026.12,1053.17,1025.64,1046.21,136474000,16589600000
2017-02-18,1049.21,1061.1,1046.96,1054.42,99073500,16964800000
2017-02-19,1054.76,1056.81,1043.46,1047.87,77423300,17056600000
